neighborhood,restaurant_count
Midtown,1305
Flushing,850
Upper East Side,842
Williamsburg,637
Upper West Side,611
East Village,598
Harlem,565
Astoria,511
Sunset Park,473
Bedford-Stuyvesant,447
West Village,444
East Harlem,428
Bushwick,400
Crown Heights,381
East Flatbush,374
Jamaica,356
Sheepshead Bay,347
Hell's Kitchen,347
Lower East Side,333
Borough Park,328
Financial District,326
Chelsea,312
Jackson Heights,310
Elmhurst,305
Chinatown,299
Long Island City,291
Greenwich Village,282
Washington Heights,272
Ridgewood,270
Flatbush,267
Tribeca,251
Richmond Hill,244
Bay Ridge,233
Forest Hills,215
Bayside,193
Sunnyside,190
SoHo,190
Park Slope,182
Fordham,177
Woodside,161
Inwood,159
Ditmars Steinway,155
Gravesend,154
East New York,151
Bensonhurst,150
Midwood,147
Longwood,145
Canarsie,145
Maspeth,144
Brownsville,140
Ozone Park,139
Kingsbridge,138
Prospect-Lefferts Gardens,137
Mott Haven,135
Kensington,134
Kips Bay,130
Theater District,128
Greenpoint,126
Murray Hill,126
Fort Greene,121
East Elmhurst,119
Parkchester,113
Fort Hamilton,112
Cypress Hills,110
Norwood,108
Belmont,106
Gramercy,105
Corona,103
Wakefield,102
Flatlands,100
Morningside Heights,99
Woodhaven,99
Clinton Hill,98
Downtown Brooklyn,97
Rego Park,97
Bath Beach,97
Prospect Heights,93
Flatiron District,93
Queens Village,91
Boerum Hill,88
Nolita,83
Middle Village,82
Allerton,79
Glendale,78
Concourse Village,76
Concourse,76
Soundview,73
South Ozone Park,71
Throgs Neck,71
Brooklyn Heights,70
College Point,68
Battery Park City,67
West Brighton,66
Morris Park,66
South Slope,64
Little Italy,63
Williamsbridge,63
St. Albans,63
Westchester Square,62
Castleton Corners,62
Carroll Gardens,60
Fresh Meadows,60
Gowanus,59
Unionport,59
Port Richmond,59
Brighton Beach,58
Whitestone,57
Melrose,56
Springfield Gardens,56
St. George,53
Dyker Heights,53
Bellerose,52
Far Rockaway,51
Kew Gardens Hills,50
Kew Gardens,48
Windsor Terrace,46
Briarwood,46
Bull's Head,46
Jamaica Estates,46
Tremont,46
University Heights,46
Little Neck,46
Pelham Bay,45
Morris Heights,45
Stapleton,45
NoHo,44
Claremont Village,44
New Springville,44
Hollis,43
Mount Hope,43
Mount Eden,43
Rosedale,41
Howard Beach,40
City Island,39
DUMBO,39
Co-op City,39
Morrisania,39
Laurelton,38
Cobble Hill,38
Hunts Point,35
Eltingville,34
Fieldston,34
Great Kills,34
Van Nest,34
New Dorp,34
Jamaica Hills,32
Graniteville,32
Randall Manor,32
Tottenville,32
Highbridge,31
North Riverdale,31
Arrochar,30
Rockaway Beach,29
Bronxdale,29
Dongan Hills,28
Cambria Heights,27
Mill Basin,26
South Beach,26
Riverdale,25
Eastchester,24
Baychester,24
East Morrisania,23
Woodlawn,23
Douglaston,22
West Farms,22
Pleasant Plains,21
Red Hook,20
Bay Terrace,19
Tompkinsville,19
Concord,19
Rossville,19
Port Morris,19
Schuylerville,18
Pelham Gardens,18
Westerleigh,18
Grant City,17
New Dorp Beach,17
Clason Point,16
Rosebank,16
Midland Beach,16
Two Bridges,16
Emerson Hill,15
Mariners Harbor,15
Columbia St,15
Huguenot,15
Olinville,15
"Chelsea, Staten Island",14
Bergen Beach,14
Arverne,14
Shore Acres,14
Arden Heights,14
Gerritsen Beach,14
Civic Center,12
Coney Island,12
Prince's Bay,12
Roosevelt Island,11
Charleston,11
Marble Hill,11
Clifton,11
Glen Oaks,10
Edenwald,9
Castle Hill,9
New Brighton,9
Hollis Hills,9
Woodrow,9
Manhattan Beach,9
Todt Hill,8
Spuyten Duyvil,7
Oakwood,7
Holliswood,6
"Bay Terrace, Staten Island",6
Stuyvesant Town,6
Richmondtown,5
Country Club,5
Bayswater,5
Howland Hook,4
Vinegar Hill,4
Lighthouse Hill,3
Belle Harbor,3
Edgemere,3
Navy Yard,2
Grymes Hill,2
Silver Lake,2